Position; Velocity; Acceleration; Pitch; Roll; Heading; LeftWingInclination; rightWingInclination; horStabInclination; verStabInclination; LliftX; LliftY; LliftZ; RliftX; RliftY; RliftZ; horLiftX; horLiftY; horLiftZ; verLiftX; verLiftY; verLiftZ; momentX; momentY; momentZ
(NaN, NaN, NaN); (NaN, NaN, NaN); (NaN, NaN, NaN); NaN; NaN; NaN; 0.0; 0.0; -0.045; 0.0; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; 3.639861
(NaN, NaN, NaN); (NaN, NaN, NaN); (NaN, NaN, NaN); NaN; NaN; NaN; 0.0; 0.0; -0.045; 0.0; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; 3.6900084
(NaN, NaN, NaN); (NaN, NaN, NaN); (NaN, NaN, NaN); NaN; NaN; NaN; 0.0; 0.0; -0.045; 0.0; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; 3.7399418
(NaN, NaN, NaN); (NaN, NaN, NaN); (NaN, NaN, NaN); NaN; NaN; NaN; 0.0; 0.0; -0.045; 0.0; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; 3.7901874
(NaN, NaN, NaN); (NaN, NaN, NaN); (NaN, NaN, NaN); NaN; NaN; NaN; 0.0; 0.0; -0.045; 0.0; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; 3.8398466
(NaN, NaN, NaN); (NaN, NaN, NaN); (NaN, NaN, NaN); NaN; NaN; NaN; 0.0; 0.0; -0.045; 0.0; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; 3.8900614
(NaN, NaN, NaN); (NaN, NaN, NaN); (NaN, NaN, NaN); NaN; NaN; NaN; 0.0; 0.0; -0.045; 0.0; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; 3.9398615
(NaN, NaN, NaN); (NaN, NaN, NaN); (NaN, NaN, NaN); NaN; NaN; NaN; 0.0; 0.0; -0.045; 0.0; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; 3.9898512
(NaN, NaN, NaN); (NaN, NaN, NaN); (NaN, NaN, NaN); NaN; NaN; NaN; 0.0; 0.0; -0.045; 0.0; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; 4.0398808
(NaN, NaN, NaN); (NaN, NaN, NaN); (NaN, NaN, NaN); NaN; NaN; NaN; 0.0; 0.0; -0.045; 0.0; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; 4.08983
(NaN, NaN, NaN); (NaN, NaN, NaN); (NaN, NaN, NaN); NaN; NaN; NaN; 0.0; 0.0; -0.045; 0.0; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; 4.13988
(NaN, NaN, NaN); (NaN, NaN, NaN); (NaN, NaN, NaN); NaN; NaN; NaN; 0.0; 0.0; -0.045; 0.0; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; 4.189938
(NaN, NaN, NaN); (NaN, NaN, NaN); (NaN, NaN, NaN); NaN; NaN; NaN; 0.0; 0.0; -0.045; 0.0; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; 4.239831
